Metric,Value
Total gene copies,399
Intact copies (>=80% coverage),302 (75.7%)
Partial copies (50-80%),97 (24.3%)
Fragment copies (<50%),0 (0.0%)
Reference protein length,643 aa
Reference CDS length,1929 bp
Mean genomic span,3800 bp
Median genomic span,3394 bp
Mean CDS length,1495 bp
Mean MROH fraction of span,43.4%
Estimated HEAT repeats (reference),~16
Mean HEAT repeats per copy,12.5
Hydrophobicity autocorrelation peak,42 aa
Internal repeat regions,1
Total repeat content (reference),21 aa (3.3%)
Estimated HEAT units (reference),~0
Periodic 4-mers,0/0 (0.0%)
RepeatMasker available,No
