locus_id,chrom,chrom_class,genomic_span_bp,cds_length_bp,coverage_frac,pct_mroh_of_span,est_heat_repeats
1,4,macro_derived,2577,1779,0.9222395023328148,69.0337601862631,15
3,4,macro_derived,3141,1887,0.9782270606531882,60.07640878701051,16
4,4,macro_derived,3119,1251,0.6485225505443235,40.10900929785188,10
5,4,macro_derived,2607,1809,0.937791601866252,69.39010356731876,15
7,4,macro_derived,3141,1899,0.9844479004665628,60.458452722063036,16
16,4,macro_derived,2578,1737,0.9004665629860031,67.377812257564,14
18,4,macro_derived,2503,1677,0.8693623639191291,66.99960047942469,14
19,4,macro_derived,3124,1299,0.6734059097978227,41.58130601792573,11
20,4,macro_derived,3141,1887,0.9782270606531882,60.07640878701051,16
22,4,macro_derived,2607,1821,0.9440124416796268,69.85040276179517,15
23,4,macro_derived,3121,1497,0.776049766718507,47.965395706504324,12
24,6,macro_derived,3121,1407,0.7293934681181959,45.081704581864784,12
25,6,macro_derived,3121,1281,0.6640746500777605,41.04453700736943,11
26,6,macro_derived,1875,984,0.5101088646967341,52.480000000000004,8
29,6,macro_derived,2368,1194,0.6189735614307932,50.422297297297305,10
30,6,macro_derived,3114,1857,0.9626749611197511,59.63391136801541,15
31,6,macro_derived,3144,1890,0.979782270606532,60.1145038167939,16
32,6,macro_derived,3122,1290,0.6687402799377916,41.319666880205,11
33,6,macro_derived,3121,1407,0.7293934681181959,45.081704581864784,12
35,6,macro_derived,3292,1719,0.8911353032659409,52.21749696233293,14
36,8,macro_derived,2182,1224,0.6345256609642301,56.095325389550865,10
38,8,macro_derived,2888,1707,0.8849144634525661,59.106648199445985,14
39,8,macro_derived,2888,1548,0.80248833592535,53.601108033241,13
40,8,macro_derived,2887,1548,0.80248833592535,53.619674402493935,13
41,8,macro_derived,2887,1548,0.80248833592535,53.619674402493935,13
42,8,macro_derived,2887,1701,0.8818040435458787,58.919293384135784,14
43,8,macro_derived,2888,1548,0.80248833592535,53.601108033241,13
44,8,macro_derived,2885,1548,0.80248833592535,53.65684575389948,13
45,8,macro_derived,2887,1548,0.80248833592535,53.619674402493935,13
48,8,macro_derived,2888,1587,0.8227060653188181,54.95152354570637,13
49,8,macro_derived,2887,1701,0.8818040435458787,58.919293384135784,14
50,8,macro_derived,2887,1548,0.80248833592535,53.619674402493935,13
51,8,macro_derived,2888,1698,0.880248833592535,58.795013850415515,14
52,8,macro_derived,2887,1701,0.8818040435458787,58.919293384135784,14
53,8,macro_derived,2888,1701,0.8818040435458787,58.898891966759,14
54,8,macro_derived,2887,1548,0.80248833592535,53.619674402493935,13
55,8,macro_derived,2883,1698,0.880248833592535,58.89698231009365,14
56,8,macro_derived,2364,1059,0.5489891135303266,44.79695431472081,9
58,8,macro_derived,2886,1707,0.8849144634525661,59.147609147609145,14
59,8,macro_derived,2889,1701,0.8818040435458787,58.87850467289719,14
66,8,macro_derived,2887,1740,0.9020217729393468,60.270176653966054,14
67,8,macro_derived,2887,1707,0.8849144634525661,59.12712157949428,14
68,8,macro_derived,2887,1554,0.8055987558320373,53.82750259785244,13
69,8,macro_derived,2888,1707,0.8849144634525661,59.106648199445985,14
70,8,macro_derived,2509,1371,0.7107309486780715,54.643284176962936,11
71,8,macro_derived,2888,1545,0.8009331259720062,53.4972299168975,13
72,8,macro_derived,2887,1740,0.9020217729393468,60.270176653966054,14
73,8,macro_derived,2886,1539,0.7978227060653188,53.32640332640332,13
76,10,chr10_ancestral,1959,1035,0.536547433903577,52.833078101071976,9
82,10,chr10_ancestral,3372,1632,0.8460342146189735,48.39857651245551,14
90,10,chr10_ancestral,2199,1068,0.5536547433903577,48.567530695770806,9
91,10,chr10_ancestral,2589,1497,0.776049766718507,57.8215527230591,12
93,10,chr10_ancestral,3173,1473,0.7636080870917574,46.42294358651119,12
95,10,chr10_ancestral,2922,1371,0.7107309486780715,46.91991786447638,11
97,10,chr10_ancestral,3174,1605,0.8320373250388803,50.567107750472594,13
100,10,chr10_ancestral,1554,996,0.5163297045101088,64.0926640926641,8
101,10,chr10_ancestral,2553,1470,0.7620528771384136,57.57931844888367,12
103,10,chr10_ancestral,2565,1512,0.7838258164852255,58.94736842105262,13
105,10,chr10_ancestral,3172,1542,0.7993779160186625,48.61286254728878,13
107,10,chr10_ancestral,2685,1179,0.6111975116640747,43.910614525139664,10
112,10,chr10_ancestral,2183,1026,0.5318818040435459,46.99954191479615,9
114,10,chr10_ancestral,2608,1524,0.7900466562986003,58.435582822085884,13
115,10,chr10_ancestral,2827,1440,0.7465007776049767,50.937389458790236,12
117,10,chr10_ancestral,2658,1548,0.80248833592535,58.239277652370205,13
119,10,chr10_ancestral,3172,1662,0.8615863141524106,52.39596469104666,14
120,10,chr10_ancestral,2563,1341,0.6951788491446346,52.32149824424502,11
121,10,chr10_ancestral,2612,1596,0.8273716951788491,61.102603369065854,13
122,10,chr10_ancestral,2608,1458,0.7558320373250389,55.90490797546013,12
125,10,chr10_ancestral,2608,1683,0.8724727838258165,64.53220858895705,14
126,10,chr10_ancestral,2608,1671,0.8662519440124417,64.07208588957054,14
137,10,chr10_ancestral,1718,1314,0.6811819595645412,76.48428405122235,11
141,10,chr10_ancestral,2609,1776,0.9206842923794712,68.07205825986968,15
142,10,chr10_ancestral,2565,1734,0.8989113530326595,67.60233918128655,14
143,10,chr10_ancestral,2572,1716,0.8895800933125972,66.7185069984448,14
152,10,chr10_ancestral,2584,1347,0.6982892690513219,52.128482972136226,11
158,10,chr10_ancestral,2577,1683,0.8724727838258165,65.30849825378347,14
160,10,chr10_ancestral,2577,1692,0.8771384136858476,65.65774155995344,14
162,10,chr10_ancestral,2579,1650,0.8553654743390358,63.97828615742536,14
164,10,chr10_ancestral,2579,1650,0.8553654743390358,63.97828615742536,14
166,10,chr10_ancestral,2579,1650,0.8553654743390358,63.97828615742536,14
167,10,chr10_ancestral,2919,1191,0.6174183514774495,40.8016443987667,10
169,10,chr10_ancestral,3371,1647,0.8538102643856921,48.857905665974485,14
172,10,chr10_ancestral,2609,1584,0.8211508553654744,60.712916826370254,13
175,10,chr10_ancestral,2895,1527,0.7916018662519441,52.74611398963731,13
178,10,chr10_ancestral,2589,1497,0.776049766718507,57.8215527230591,12
180,10,chr10_ancestral,2600,1407,0.7293934681181959,54.11538461538462,12
183,10,chr10_ancestral,2895,1527,0.7916018662519441,52.74611398963731,13
187,10,chr10_ancestral,2205,1008,0.5225505443234837,45.714285714285715,8
191,10,chr10_ancestral,2891,1413,0.7325038880248833,48.875821515046695,12
195,10,chr10_ancestral,3190,1635,0.8475894245723172,51.2539184952978,14
196,10,chr10_ancestral,2922,1365,0.7076205287713841,46.71457905544148,11
201,10,chr10_ancestral,2912,1332,0.6905132192846034,45.74175824175824,11
211,10,chr10_ancestral,2565,1734,0.8989113530326595,67.60233918128655,14
213,10,chr10_ancestral,1177,1035,0.536547433903577,87.93542905692439,9
215,10,chr10_ancestral,2555,1509,0.7822706065318819,59.06066536203522,13
216,10,chr10_ancestral,2565,1590,0.8242612752721618,61.98830409356725,13
217,10,chr10_ancestral,2613,1590,0.8242612752721618,60.84959816303099,13
218,10,chr10_ancestral,2603,1068,0.5536547433903577,41.02958125240107,9
219,10,chr10_ancestral,1545,1065,0.552099533437014,68.93203883495146,9
220,10,chr10_ancestral,2631,1587,0.8227060653188181,60.319270239452685,13
223,10,chr10_ancestral,4834,2385,1.2363919129082426,49.33802234174597,20
224,10,chr10_ancestral,3399,1584,0.8211508553654744,46.601941747572816,13
225,10,chr10_ancestral,3391,1626,0.8429237947122862,47.950457092303154,14
226,10,chr10_ancestral,3399,1584,0.8211508553654744,46.601941747572816,13
227,10,chr10_ancestral,3399,1584,0.8211508553654744,46.601941747572816,13
228,10,chr10_ancestral,3399,1584,0.8211508553654744,46.601941747572816,13
229,10,chr10_ancestral,3399,1584,0.8211508553654744,46.601941747572816,13
230,10,chr10_ancestral,3399,1584,0.8211508553654744,46.601941747572816,13
231,10,chr10_ancestral,3399,1584,0.8211508553654744,46.601941747572816,13
232,10,chr10_ancestral,3399,1584,0.8211508553654744,46.601941747572816,13
233,10,chr10_ancestral,3399,1584,0.8211508553654744,46.601941747572816,13
234,10,chr10_ancestral,3399,1581,0.8195956454121306,46.51368049426302,13
235,10,chr10_ancestral,3399,1581,0.8195956454121306,46.51368049426302,13
236,10,chr10_ancestral,3396,1644,0.8522550544323484,48.409893992932865,14
237,10,chr10_ancestral,3399,1650,0.8553654743390358,48.54368932038835,14
238,10,chr10_ancestral,3391,1629,0.8444790046656299,48.03892657033323,14
239,10,chr10_ancestral,3391,1623,0.8413685847589425,47.861987614273076,14
240,10,chr10_ancestral,3399,1647,0.8538102643856921,48.45542806707856,14
241,10,chr10_ancestral,3399,1647,0.8538102643856921,48.45542806707856,14
242,10,chr10_ancestral,3391,1692,0.8771384136858476,49.896785608964905,14
243,10,chr10_ancestral,3391,1680,0.8709175738724728,49.54290769684459,14
244,10,chr10_ancestral,3391,1680,0.8709175738724728,49.54290769684459,14
245,10,chr10_ancestral,3390,1695,0.8786936236391913,50.0,14
246,10,chr10_ancestral,3389,1647,0.8538102643856921,48.59840660961935,14
247,10,chr10_ancestral,3386,1581,0.8195956454121306,46.69226225634968,13
248,10,chr10_ancestral,3390,1659,0.8600311041990669,48.93805309734513,14
249,10,chr10_ancestral,3387,1593,0.8258164852255054,47.03277236492471,13
250,10,chr10_ancestral,3390,1593,0.8258164852255054,46.991150442477874,13
251,10,chr10_ancestral,3399,1587,0.8227060653188181,46.69020300088261,13
252,10,chr10_ancestral,3396,1620,0.8398133748055988,47.70318021201413,14
253,10,chr10_ancestral,3399,1623,0.8413685847589425,47.74933804060018,14
254,10,chr10_ancestral,3399,1623,0.8413685847589425,47.74933804060018,14
255,10,chr10_ancestral,3399,1557,0.807153965785381,45.80759046778464,13
256,10,chr10_ancestral,3387,1374,0.7122861586314152,40.56687333923826,11
257,10,chr10_ancestral,3387,1350,0.6998444790046656,39.85828166519043,11
258,10,chr10_ancestral,3387,1350,0.6998444790046656,39.85828166519043,11
259,10,chr10_ancestral,3387,1374,0.7122861586314152,40.56687333923826,11
260,10,chr10_ancestral,3387,1374,0.7122861586314152,40.56687333923826,11
261,10,chr10_ancestral,3387,1374,0.7122861586314152,40.56687333923826,11
262,10,chr10_ancestral,3387,1374,0.7122861586314152,40.56687333923826,11
263,10,chr10_ancestral,3387,1374,0.7122861586314152,40.56687333923826,11
264,10,chr10_ancestral,3387,1374,0.7122861586314152,40.56687333923826,11
265,10,chr10_ancestral,3387,1374,0.7122861586314152,40.56687333923826,11
266,10,chr10_ancestral,3390,1374,0.7122861586314152,40.530973451327434,11
267,10,chr10_ancestral,3383,1368,0.7091757387247278,40.43748152527343,11
326,11,micro_derived,2575,1749,0.906687402799378,67.92233009708738,15
329,11,micro_derived,2912,1332,0.6905132192846034,45.74175824175824,11
330,11,micro_derived,2913,1413,0.7325038880248833,48.506694129763126,12
336,11,micro_derived,2907,1329,0.6889580093312597,45.717234262125906,11
338,11,micro_derived,2912,1332,0.6905132192846034,45.74175824175824,11
340,11,micro_derived,2913,1413,0.7325038880248833,48.506694129763126,12
341,11,micro_derived,2908,1410,0.7309486780715396,48.486932599724895,12
342,11,micro_derived,2912,1332,0.6905132192846034,45.74175824175824,11
343,11,micro_derived,3171,1917,0.9937791601866252,60.45411542100284,16
345,11,micro_derived,2607,1815,0.9409020217729394,69.62025316455697,15
348,11,micro_derived,2907,1329,0.6889580093312597,45.717234262125906,11
352,11,micro_derived,2192,1008,0.5225505443234837,45.98540145985402,8
361,11,micro_derived,2912,1332,0.6905132192846034,45.74175824175824,11
363,11,micro_derived,2578,1773,0.9191290824261276,68.77424359968968,15
365,11,micro_derived,2578,1779,0.9222395023328148,69.00698215671063,15
366,12,micro_derived,2888,1545,0.8009331259720062,53.4972299168975,13
371,13,micro_derived,2382,1482,0.7682737169517885,62.21662468513854,12
373,15,micro_derived,3142,1557,0.807153965785381,49.55442393380013,13
374,15,micro_derived,1486,1011,0.5241057542768274,68.03499327052491,8
379,15,micro_derived,1594,1029,0.5334370139968896,64.55457967377666,9
380,15,micro_derived,2887,1545,0.8009331259720062,53.515760304814684,13
381,15,micro_derived,3142,1791,0.9284603421461898,57.001909611712286,15
382,16,micro_derived,2568,1503,0.7791601866251944,58.52803738317757,13
386,16,micro_derived,2568,1524,0.7900466562986003,59.345794392523366,13
416,18,micro_derived,1794,1071,0.5552099533437014,59.6989966555184,9
418,21,micro_derived,2912,1377,0.713841368584759,47.28708791208791,11
422,21,micro_derived,3116,1710,0.8864696734059098,54.87804878048781,14
424,21,micro_derived,2362,1254,0.6500777604976672,53.09060118543607,10
427,21,micro_derived,2610,1674,0.8678071539657853,64.13793103448275,14
429,21,micro_derived,3119,1593,0.8258164852255054,51.07406219942289,13
431,21,micro_derived,2610,1653,0.8569206842923794,63.33333333333333,14
433,21,micro_derived,2610,1488,0.7713841368584758,57.01149425287356,12
437,21,micro_derived,2913,1413,0.7325038880248833,48.506694129763126,12
438,21,micro_derived,2919,1419,0.7356143079315708,48.6125385405961,12
441,21,micro_derived,2910,1245,0.645412130637636,42.78350515463917,10
444,21,micro_derived,2912,1284,0.6656298600311042,44.09340659340659,11
447,21,micro_derived,2911,1431,0.7418351477449455,49.15836482308485,12
450,21,micro_derived,2607,1809,0.937791601866252,69.39010356731876,15
455,21,micro_derived,2912,1578,0.8180404354587869,54.18956043956044,13
456,21,micro_derived,3145,1530,0.7931570762052877,48.64864864864865,13
458,21,micro_derived,3119,1578,0.8180404354587869,50.59313882654697,13
460,21,micro_derived,2579,1416,0.7340590979782271,54.90500193873594,12
465,21,micro_derived,2578,1767,0.91601866251944,68.54150504266873,15
466,21,micro_derived,3123,1437,0.744945567651633,46.01344860710855,12
468,23,micro_derived,2596,1419,0.7356143079315708,54.66101694915254,12
470,23,micro_derived,2912,1332,0.6905132192846034,45.74175824175824,11
