locus_id,chrom,chrom_class,genomic_span_bp,cds_length_bp,coverage_frac,pct_mroh_of_span,est_heat_repeats
0,1,macro_derived,3223,1554,0.946983546617916,48.215947874650944,13
1,1A,macro_derived,3221,1701,1.036563071297989,52.80968643278485,14
3,6,macro_derived,3313,1419,0.8647166361974405,42.83127075158467,12
4,6,macro_derived,3315,1419,0.8647166361974405,42.80542986425339,12
5,6,macro_derived,3314,1404,0.8555758683729433,42.3657211828606,12
6,6,macro_derived,3315,1419,0.8647166361974405,42.80542986425339,12
7,6,macro_derived,3315,1404,0.8555758683729433,42.35294117647059,12
8,6,macro_derived,3313,1419,0.8647166361974405,42.83127075158467,12
9,6,macro_derived,3313,1419,0.8647166361974405,42.83127075158467,12
10,7,chr7_ancestral,3388,1620,0.9872029250457038,47.81582054309327,14
11,7,chr7_ancestral,3388,1620,0.9872029250457038,47.81582054309327,14
12,7,chr7_ancestral,3386,1572,0.9579524680073126,46.4264619019492,13
13,7,chr7_ancestral,3227,1515,0.923217550274223,46.94762937713046,13
14,7,chr7_ancestral,4161,1836,1.1188299817184644,44.1240086517664,15
16,7,chr7_ancestral,4744,2772,1.689213893967093,58.43170320404722,23
17,7,chr7_ancestral,4748,2733,1.6654478976234004,57.56107834877844,23
18,7,chr7_ancestral,3300,1455,0.886654478976234,44.09090909090909,12
19,8,macro_derived,3449,1659,1.0109689213893966,48.100898811249635,14
20,16,micro_derived,2955,1071,0.6526508226691042,36.243654822335024,9
21,16,micro_derived,2891,945,0.5758683729433273,32.68765133171913,8
22,16,micro_derived,2883,1284,0.7824497257769653,44.5369406867846,11
23,16,micro_derived,2956,1359,0.8281535648994516,45.97428958051421,11
24,16,micro_derived,2955,1320,0.8043875685557587,44.67005076142132,11
25,16,micro_derived,2892,1296,0.7897623400365631,44.81327800829876,11
26,16,micro_derived,2957,1014,0.6179159049360147,34.2915116672303,8
27,16,micro_derived,2956,1359,0.8281535648994516,45.97428958051421,11
28,16,micro_derived,2892,1296,0.7897623400365631,44.81327800829876,11
29,16,micro_derived,2947,1062,0.6471663619744058,36.03664743807261,9
30,16,micro_derived,2892,1257,0.7659963436928702,43.46473029045643,10
31,16,micro_derived,2955,1071,0.6526508226691042,36.243654822335024,9
32,16,micro_derived,2957,1359,0.8281535648994516,45.95874196821102,11
33,16,micro_derived,3498,1275,0.7769652650822669,36.44939965694683,11
34,16,micro_derived,2892,1296,0.7897623400365631,44.81327800829876,11
35,16,micro_derived,2893,1296,0.7897623400365631,44.79778776356723,11
36,16,micro_derived,2893,1296,0.7897623400365631,44.79778776356723,11
37,16,micro_derived,2892,1296,0.7897623400365631,44.81327800829876,11
38,16,micro_derived,2892,1008,0.6142595978062158,34.85477178423236,8
39,16,micro_derived,2956,1359,0.8281535648994516,45.97428958051421,11
40,16,micro_derived,3501,1248,0.7605118829981719,35.646958011996574,10
41,16,micro_derived,2956,1032,0.6288848263254113,34.912043301759134,9
42,16,micro_derived,2892,1296,0.7897623400365631,44.81327800829876,11
43,16,micro_derived,2891,1032,0.6288848263254113,35.69699066067105,9
44,16,micro_derived,2898,1296,0.7897623400365631,44.72049689440994,11
45,16,micro_derived,2955,1353,0.8244972577696527,45.786802030456855,11
46,16,micro_derived,2955,1359,0.8281535648994516,45.98984771573604,11
47,16,micro_derived,2954,1095,0.6672760511882998,37.06838185511172,9
48,16,micro_derived,2883,1293,0.7879341864716636,44.84911550468262,11
49,16,micro_derived,2893,1008,0.6142595978062158,34.84272381610785,8
50,16,micro_derived,2891,1296,0.7897623400365631,44.8287789692148,11
51,16,micro_derived,2893,1251,0.7623400365630713,43.242309021776705,10
52,16,micro_derived,2956,1356,0.8263254113345521,45.87280108254398,11
53,16,micro_derived,2956,1320,0.8043875685557587,44.65493910690122,11
54,16,micro_derived,2891,1008,0.6142595978062158,34.866828087167065,8
55,16,micro_derived,3489,1317,0.8025594149908593,37.747205503009454,11
56,16,micro_derived,3469,1638,0.9981718464351006,47.218218506774285,14
57,16,micro_derived,2890,1032,0.6288848263254113,35.70934256055363,9
58,16,micro_derived,2893,1296,0.7897623400365631,44.79778776356723,11
59,16,micro_derived,2893,1296,0.7897623400365631,44.79778776356723,11
60,16,micro_derived,2893,1296,0.7897623400365631,44.79778776356723,11
61,16,micro_derived,2891,1296,0.7897623400365631,44.8287789692148,11
62,16,micro_derived,2892,1008,0.6142595978062158,34.85477178423236,8
63,16,micro_derived,2881,1287,0.7842778793418648,44.671988892745574,11
64,16,micro_derived,19968,1614,0.9835466179159048,8.082932692307693,13
65,16,micro_derived,19136,1431,0.8720292504570384,7.478051839464883,12
66,16,micro_derived,2892,1296,0.7897623400365631,44.81327800829876,11
67,16,micro_derived,2893,1008,0.6142595978062158,34.84272381610785,8
68,16,micro_derived,2956,1365,0.8318098720292505,46.17726657645467,11
69,16,micro_derived,2954,1626,0.9908592321755028,55.04400812457685,14
70,16,micro_derived,2954,1071,0.6526508226691042,36.25592417061612,9
71,16,micro_derived,2892,1296,0.7897623400365631,44.81327800829876,11
72,16,micro_derived,2956,1359,0.8281535648994516,45.97428958051421,11
73,16,micro_derived,2954,1032,0.6288848263254113,34.935680433310765,9
74,16,micro_derived,2956,1359,0.8281535648994516,45.97428958051421,11
75,16,micro_derived,3502,1107,0.6745886654478976,31.610508280982298,9
76,16,micro_derived,2891,1296,0.7897623400365631,44.8287789692148,11
77,16,micro_derived,2891,1032,0.6288848263254113,35.69699066067105,9
78,16,micro_derived,2955,1320,0.8043875685557587,44.67005076142132,11
79,16,micro_derived,2893,1296,0.7897623400365631,44.79778776356723,11
80,16,micro_derived,2894,1257,0.7659963436928702,43.43469246717346,10
81,16,micro_derived,2955,1359,0.8281535648994516,45.98984771573604,11
82,16,micro_derived,2893,1296,0.7897623400365631,44.79778776356723,11
83,16,micro_derived,2883,999,0.6087751371115173,34.65140478668054,8
84,16,micro_derived,2892,1008,0.6142595978062158,34.85477178423236,8
85,16,micro_derived,2956,1071,0.6526508226691042,36.231393775372126,9
86,16,micro_derived,2890,1563,0.9524680073126144,54.08304498269896,13
