seq1,seq2,max_identical_run
gu_21_chr7_449501_452050,gu_23_chr7_800589_803138,49
gu_21_chr7_449501_452050,gu_111_chr7_7175660_7178191,31
gu_21_chr7_449501_452050,gu_340_chr7_9103797_9106325,48
gu_21_chr7_449501_452050,gu_342_chr7_9111665_9114193,48
gu_21_chr7_449501_452050,gu_344_chr7_9119529_9122057,48
gu_21_chr7_449501_452050,gu_346_chr7_9127428_9129956,48
gu_21_chr7_449501_452050,gu_348_chr7_9135336_9137864,48
gu_21_chr7_449501_452050,gu_350_chr7_9143229_9145757,48
gu_21_chr7_449501_452050,gu_352_chr7_9151104_9153632,48
gu_21_chr7_449501_452050,gu_354_chr7_9158948_9161476,48
gu_21_chr7_449501_452050,gu_356_chr7_9166825_9169353,48
gu_21_chr7_449501_452050,gu_358_chr7_9174656_9177184,48
gu_21_chr7_449501_452050,gu_360_chr7_9182517_9185045,48
gu_21_chr7_449501_452050,gu_362_chr7_9190397_9192925,48
gu_21_chr7_449501_452050,gu_364_chr7_9198255_9200783,48
gu_21_chr7_449501_452050,gu_366_chr7_9206126_9208654,48
gu_21_chr7_449501_452050,gu_368_chr7_9213988_9216516,48
gu_21_chr7_449501_452050,gu_370_chr7_9221819_9224347,48
gu_21_chr7_449501_452050,gu_372_chr7_9229642_9232170,48
gu_21_chr7_449501_452050,gu_374_chr7_9237509_9240037,48
gu_21_chr7_449501_452050,gu_376_chr7_9245330_9247858,48
gu_21_chr7_449501_452050,gu_442_chr8_39057864_39059985,49
gu_21_chr7_449501_452050,gu_444_chr8_39065590_39068118,49
gu_21_chr7_449501_452050,gu_447_chr8_39076698_39078819,49
gu_21_chr7_449501_452050,gu_449_chr8_39084389_39086917,49
gu_21_chr7_449501_452050,gu_451_chr8_39092351_39094879,49
gu_21_chr7_449501_452050,gu_453_chr8_39100323_39102851,49
gu_21_chr7_449501_452050,gu_455_chr8_39108211_39110739,49
gu_21_chr7_449501_452050,gu_460_chr8_39123998_39126526,49
gu_21_chr7_449501_452050,gu_462_chr8_39131929_39134457,49
gu_21_chr7_449501_452050,gu_464_chr8_39139940_39142468,49
gu_21_chr7_449501_452050,gu_565_chr8_38066803_38069349,35
gu_21_chr7_449501_452050,gu_616_chr8_43675657_43678206,48
gu_21_chr7_449501_452050,gu_687_chr9_1216578_1219127,31
gu_21_chr7_449501_452050,gu_841_chr9_11446160_11448709,31
gu_21_chr7_449501_452050,gu_960_chr9_519414_521945,48
gu_21_chr7_449501_452050,gu_962_chr9_533134_535665,48
gu_21_chr7_449501_452050,gu_964_chr9_541102_543633,48
gu_21_chr7_449501_452050,gu_1127_chr10_37685039_37686945,25
gu_21_chr7_449501_452050,gu_5347_chrunknown_3714351_3716913,31
gu_21_chr7_449501_452050,gu_5359_chrunknown_5123497_5126161,31
gu_23_chr7_800589_803138,gu_111_chr7_7175660_7178191,31
gu_23_chr7_800589_803138,gu_340_chr7_9103797_9106325,48
