seq1,seq2,max_identical_run
gu_0_chr4A_20416258_20417701,gu_2_chr4A_20483465_20484911,22
gu_0_chr4A_20416258_20417701,gu_4_chr4A_20547713_20549169,30
gu_0_chr4A_20416258_20417701,gu_5_chr4A_20591402_20592846,22
gu_0_chr4A_20416258_20417701,gu_6_chr4A_20649891_20651295,37
gu_0_chr4A_20416258_20417701,gu_14_chr4A_20423464_20424915,35
gu_0_chr4A_20416258_20417701,gu_16_chr4A_20597982_20599420,20
gu_0_chr4A_20416258_20417701,gu_18_chr4A_20657030_20658476,32
gu_0_chr4A_20416258_20417701,gu_20_chr5_2017355_2019112,17
gu_0_chr4A_20416258_20417701,gu_22_chr5_2075683_2077134,24
gu_0_chr4A_20416258_20417701,gu_24_chr5_2118565_2120322,17
gu_0_chr4A_20416258_20417701,gu_28_chr5_2251569_2252996,32
gu_0_chr4A_20416258_20417701,gu_32_chr5_2557954_2559710,17
gu_0_chr4A_20416258_20417701,gu_34_chr5_2618055_2619415,17
gu_0_chr4A_20416258_20417701,gu_36_chr5_3098846_3100290,37
gu_0_chr4A_20416258_20417701,gu_38_chr5_3549040_3550796,17
gu_0_chr4A_20416258_20417701,gu_42_chr5_3643260_3644709,29
gu_0_chr4A_20416258_20417701,gu_50_chr5_3771615_3773059,28
gu_0_chr4A_20416258_20417701,gu_58_chr5_4131093_4132531,37
gu_0_chr4A_20416258_20417701,gu_60_chr5_4457178_4458624,46
gu_0_chr4A_20416258_20417701,gu_64_chr5_4634026_4635472,46
gu_0_chr4A_20416258_20417701,gu_66_chr5_4880895_4882341,46
gu_0_chr4A_20416258_20417701,gu_68_chr5_4968605_4970056,32
gu_0_chr4A_20416258_20417701,gu_69_chr5_5036585_5038030,46
gu_0_chr4A_20416258_20417701,gu_76_chr5_5482016_5483462,46
gu_0_chr4A_20416258_20417701,gu_78_chr5_5512831_5514277,46
gu_0_chr4A_20416258_20417701,gu_80_chr5_5560760_5562210,22
gu_0_chr4A_20416258_20417701,gu_83_chr5_5908661_5910107,46
gu_0_chr4A_20416258_20417701,gu_85_chr5_6075492_6076938,46
gu_0_chr4A_20416258_20417701,gu_87_chr5_6107352_6108739,17
gu_0_chr4A_20416258_20417701,gu_89_chr5_6258416_6259862,22
gu_0_chr4A_20416258_20417701,gu_91_chr5_6327031_6328480,46
gu_0_chr4A_20416258_20417701,gu_93_chr5_6437109_6438560,46
gu_0_chr4A_20416258_20417701,gu_97_chr5_6833003_6834449,46
gu_0_chr4A_20416258_20417701,gu_99_chr5_6864823_6866607,17
gu_0_chr4A_20416258_20417701,gu_102_chr5_7013507_7014953,46
gu_0_chr4A_20416258_20417701,gu_104_chr5_7044200_7045984,17
gu_0_chr4A_20416258_20417701,gu_106_chr5_7134137_7135582,46
gu_0_chr4A_20416258_20417701,gu_111_chr5_7236801_7238239,44
gu_0_chr4A_20416258_20417701,gu_113_chr5_7482511_7483957,46
gu_0_chr4A_20416258_20417701,gu_127_chr5_7833837_7835283,46
gu_0_chr4A_20416258_20417701,gu_129_chr5_7864629_7866422,17
gu_0_chr4A_20416258_20417701,gu_134_chr5_2158957_2160412,20
gu_0_chr4A_20416258_20417701,gu_137_chr5_2429817_2431268,27
gu_0_chr4A_20416258_20417701,gu_141_chr5_2511641_2513087,32
gu_0_chr4A_20416258_20417701,gu_148_chr5_3105337_3106752,18
gu_0_chr4A_20416258_20417701,gu_155_chr5_3650509_3651959,19
gu_0_chr4A_20416258_20417701,gu_161_chr5_4178210_4179666,29
gu_0_chr4A_20416258_20417701,gu_163_chr5_4238853_4240298,22
gu_0_chr4A_20416258_20417701,gu_172_chr5_5567612_5569055,32
gu_0_chr4A_20416258_20417701,gu_175_chr5_6956410_6957840,32
gu_0_chr4A_20416258_20417701,gu_178_chr5_7283999_7285455,17
gu_0_chr4A_20416258_20417701,gu_367_chr10_2259888_2261645,17
gu_0_chr4A_20416258_20417701,gu_369_chr10_2338773_2340222,22
gu_0_chr4A_20416258_20417701,gu_373_chr10_2817781_2819227,47
gu_0_chr4A_20416258_20417701,gu_375_chr10_2954131_2955889,17
gu_0_chr4A_20416258_20417701,gu_377_chr10_3031697_3033147,32
gu_0_chr4A_20416258_20417701,gu_378_chr10_3077936_3079693,17
gu_0_chr4A_20416258_20417701,gu_380_chr10_3191103_3192554,22
gu_0_chr4A_20416258_20417701,gu_400_chr10_2346027_2347478,25
gu_0_chr4A_20416258_20417701,gu_445_chr10_3670115_3671503,30
gu_0_chr4A_20416258_20417701,gu_446_chr13_1177111_1178596,37
gu_0_chr4A_20416258_20417701,gu_449_chr13_1238367_1239805,37
gu_0_chr4A_20416258_20417701,gu_451_chr13_1414033_1415484,47
gu_0_chr4A_20416258_20417701,gu_463_chr13_1184338_1185823,27
gu_0_chr4A_20416258_20417701,gu_465_chr13_1285656_1287112,30
gu_0_chr4A_20416258_20417701,gu_467_chr13_1354006_1355452,22
gu_0_chr4A_20416258_20417701,gu_469_chr13_1421238_1422681,89
gu_0_chr4A_20416258_20417701,gu_475_chr16_1721510_1723689,18
gu_0_chr4A_20416258_20417701,gu_483_chr16_2571852_2574032,18
gu_0_chr4A_20416258_20417701,gu_496_chr16_3429703_3431883,18
gu_0_chr4A_20416258_20417701,gu_509_chr16_4121735_4123915,18
gu_0_chr4A_20416258_20417701,gu_511_chr16_4385023_4387203,18
gu_0_chr4A_20416258_20417701,gu_513_chr16_4525946_4528126,18
gu_0_chr4A_20416258_20417701,gu_517_chr16_4708901_4711081,18
gu_0_chr4A_20416258_20417701,gu_519_chr16_4750272_4752453,18
gu_0_chr4A_20416258_20417701,gu_618_chr29_6991957_6993407,34
gu_0_chr4A_20416258_20417701,gu_736_chr29_10004111_10005504,28
gu_0_chr4A_20416258_20417701,gu_751_chr29_5372567_5373983,30
gu_0_chr4A_20416258_20417701,gu_760_chr31_621086_622532,32
gu_0_chr4A_20416258_20417701,gu_765_chr31_790179_791926,17
gu_0_chr4A_20416258_20417701,gu_767_chr31_1054378_1055829,25
gu_0_chr4A_20416258_20417701,gu_769_chr31_1154399_1156156,17
gu_0_chr4A_20416258_20417701,gu_771_chr31_1461307_1462701,47
gu_0_chr4A_20416258_20417701,gu_784_chr31_2873691_2875137,47
gu_0_chr4A_20416258_20417701,gu_786_chr31_3003187_3004934,17
gu_0_chr4A_20416258_20417701,gu_788_chr31_3102339_3103789,32
gu_0_chr4A_20416258_20417701,gu_789_chr31_3652167_3653613,22
gu_0_chr4A_20416258_20417701,gu_793_chr31_3900044_3901801,17
gu_0_chr4A_20416258_20417701,gu_795_chr31_4018927_4020366,22
gu_0_chr4A_20416258_20417701,gu_797_chr31_4233068_4234823,17
gu_0_chr4A_20416258_20417701,gu_806_chr31_682650_684100,32
gu_0_chr4A_20416258_20417701,gu_811_chr31_1326739_1328195,19
gu_0_chr4A_20416258_20417701,gu_812_chr31_1468500_1469951,32
gu_0_chr4A_20416258_20417701,gu_845_chr31_2714444_2715842,30
gu_0_chr4A_20416258_20417701,gu_847_chr31_2778730_2780180,18
gu_0_chr4A_20416258_20417701,gu_855_chr31_3109611_3111062,32
gu_0_chr4A_20416258_20417701,gu_859_chr31_3606466_3607912,22
gu_0_chr4A_20416258_20417701,gu_860_chr31_3712573_3714024,22
gu_0_chr4A_20416258_20417701,gu_874_chr33_2397387_2398837,27
gu_0_chr4A_20416258_20417701,gu_876_chr33_2924655_2926101,46
gu_0_chr4A_20416258_20417701,gu_914_chr33_2783657_2785102,19
gu_0_chr4A_20416258_20417701,gu_953_chr34_813730_815091,17
gu_0_chr4A_20416258_20417701,gu_970_chr34_1237684_1239122,20
gu_0_chr4A_20416258_20417701,gu_971_chr34_1375653_1377093,21
gu_0_chr4A_20416258_20417701,gu_977_chr34_1553977_1555424,31
gu_0_chr4A_20416258_20417701,gu_978_chr34_1642926_1644682,17
gu_0_chr4A_20416258_20417701,gu_980_chr34_1675795_1677242,22
gu_0_chr4A_20416258_20417701,gu_984_chr34_1827716_1829156,21
gu_0_chr4A_20416258_20417701,gu_989_chr34_2096797_2098239,25
gu_0_chr4A_20416258_20417701,gu_994_chr34_2217548_2218988,21
gu_0_chr4A_20416258_20417701,gu_1009_chr34_2627084_2628524,21
gu_0_chr4A_20416258_20417701,gu_1013_chr34_2741111_2742559,29
gu_0_chr4A_20416258_20417701,gu_1018_chr34_2862640_2864088,22
gu_0_chr4A_20416258_20417701,gu_1019_chr34_2901547_2904341,18
gu_0_chr4A_20416258_20417701,gu_1024_chr34_3030903_3032351,18
gu_0_chr4A_20416258_20417701,gu_1037_chr34_3489783_3491231,22
gu_0_chr4A_20416258_20417701,gu_1050_chr34_3911355_3912803,29
gu_0_chr4A_20416258_20417701,gu_1060_chr34_1068535_1069981,25
gu_0_chr4A_20416258_20417701,gu_1065_chr34_1244730_1246170,20
gu_0_chr4A_20416258_20417701,gu_1079_chr34_1561790_1563230,31
gu_0_chr4A_20416258_20417701,gu_1101_chr34_2103309_2104755,25
gu_0_chr4A_20416258_20417701,gu_1107_chr34_2332420_2333859,18
gu_0_chr4A_20416258_20417701,gu_1132_chr34_3321891_3323333,24
gu_0_chr4A_20416258_20417701,gu_1148_chr34_3784508_3785949,24
gu_0_chr4A_20416258_20417701,gu_1162_chr35_2424436_2425829,30
